
File	Size
Day - 17 (15_07_23)/22. JavaScript (Part 4)/06. Print Multiplication Table.mp4	27.76 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/07. Nested for Loop.mp4	44.24 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/08. while Loops.mp4	24.57 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/09. Favorite Movie.mp4	56.52 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/10. break Keyword.mp4	24.27 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/11. Loops with Arrays.mp4	36.62 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/12. Loops with Nested Arrays.mp4	49.40 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/13. for-of Loops.mp4	22.68 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/14. Nested for-of Loop.mp4	8.88 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/15. Todo App (only JS).mp4	86.29 MiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/16. JS Part 4 (Qs).pdf	346.69 KiB
Day - 17 (15_07_23)/22. JavaScript (Part 4)/17. JS Part 4 (Ans).pdf	605.82 KiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/0. Topic List.jpg	222.86 KiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/01. Object Literals.mp4	24.23 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/02. Creating Object Literals.mp4	38.90 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/03. Creating a Post.mp4	15.40 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/04. Get Values.mp4	22.91 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/05. Conversion in Get Values.mp4	22.99 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/06. Add _ Update Values.mp4	29.73 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/07. Nested Objects.mp4	19.89 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/08. Array of Objects.mp4	20.66 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/09. Math Object.mp4	44.50 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/10. Random Integers.mp4	34.83 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/11. Practice Qs.mp4	14.77 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/12. Guessing Game.mp4	80.48 MiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/13. JS Part 5 (Qs).pdf	250.96 KiB
Day - 18 (17_07_23)/23. JavaScript (Part 5)/14. JS Part 5 (Ans).pdf	236.84 KiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/0. Topic List.jpg	198.83 KiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/01. What are functions_.mp4	39.41 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/02. Practice Qs1.mp4	4.93 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/03. Practice Qs 2.mp4	15.15 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/04. Functions with Arguments.mp4	33.14 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/05. Practice Qs 3.mp4	14.71 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/06. Practice Qs 4.mp4	11.26 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/07. return Keyword.mp4	44.73 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/08. Practice Qs 5.mp4	15.01 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/09. Practice Qs 6.mp4	18.30 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/10. What is Scope_.mp4	23.53 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/11. Block Scope.mp4	17.15 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/12. Lexical Scope.mp4	21.48 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/13. Practice Qs 7.mp4	21.17 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/14. Functions Expressions.mp4	16.45 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/15. Higher Order Functions.mp4	24.91 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/16. Higher Order Functions (Returns).mp4	30.83 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/17. Methods.mp4	29.97 MiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/18. JS Part 6 (Qs).pdf	113.22 KiB
Day - 19 (21_07_23)/24. JavaScript (Part 6)/19. JS Part 6 (Ans).pdf	129.26 KiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/0. Topic List.jpg	98.27 KiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/01. _this_ in JavaScript.mp4	38.00 MiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/02. Try & Catch.mp4	28.05 MiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/03. Arrow Functions.mp4	42.52 MiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/04. Implicit Return in Arrow Functions.mp4	23.18 MiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/05. Set TimeOut Function.mp4	28.02 MiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/06. Set Interval Function.mp4	21.99 MiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/07. this with Arrow Functions.mp4	76.33 MiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/08. Practice Qs.mp4	27.55 MiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/09. JS Part 7 (Qs).pdf	479.14 KiB
Day - 20 (23_07_23)/25. JavaScript (Part - 7)/10. JS Part 7 (Ans).pdf	668.18 KiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/0. Topic List.jpg	162.00 KiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/01. Array Methods.mp4	24.85 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/02. Map & Filter.mp4	42.15 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/03. Every & Sum.mp4	13.03 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/04. Reduce Method.mp4	53.82 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/05. Maximum in Array.mp4	25.74 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/06. Practice Qs.mp4	23.78 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/07. Default Parameters.mp4	22.43 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/08. Spread.mp4	27.98 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/09. Spread (Array Literals).mp4	18.92 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/10. Spread (Object Literals).mp4	25.52 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/11. Rest.mp4	58.88 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/12. Destructuring.mp4	20.83 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/13. Destructuring (Objects).mp4	34.33 MiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/14. JS Part 8 (Qs).pdf	316.02 KiB
Day - 21 (25_07_23)/26. JavaScript (Part - 8)/15. JS Part 8 (Ans).pdf	576.07 KiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/0. Topic List.jpg	228.08 KiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/01. Introduction.mp4	8.11 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/02. What is DOM.mp4	19.61 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/03. Download Starter Code.mp4	44.69 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/04. Link For Download.pdf	9.86 KiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/05. Selecting Element by ID .mp4	33.21 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/06. Selecting Elements by Class Name .mp4	25.25 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/07. Selecting Elements by Tag Name.mp4	11.17 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/08. Query Selectors.mp4	28.84 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/09. Setting Content in Objects.mp4	53.32 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/10. Manipulating Attributes.mp4	21.21 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/11. Manipulating Style (with style attribute).mp4	39.82 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/12. classList Property.mp4	54.40 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/13. Navigation on Page.mp4	37.75 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/14. Adding Elements on Page.mp4	63.45 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/15. Removing Elements from Page.mp4	7.58 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/16. Practice Qs.mp4	26.83 MiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/17. Assignment Questions.pdf	62.76 KiB
Day - 22 (27_07_23)/27. JavaScript (Part 9)/18. Assignment Solutions.pdf	189.00 KiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/0. Topic List.jpg	396.39 KiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/01. DOM Events.mp4	31.57 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/02. Mouse_ Pointer Events.mp4	53.15 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/03. Event Listeners.mp4	42.34 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/04. Activity.mp4	56.41 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/05. Event Listeners for Elements.mp4	15.86 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/06. this in Event Listeners.mp4	45.51 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/07. Keyboard Events.mp4	85.44 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/08. Form Events.mp4	22.84 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/09. Extracting Form Data.mp4	56.50 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/10. More Events.mp4	46.84 MiB
Day - 23 (29_07_23)/28. JavaScript (Part 10)/11. JS Part 10 (Qs).pdf	332.40 KiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/0. Topic List.jpg	127.00 KiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/01. Event Bubbling.mp4	19.54 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/02. Building Todo with DOM.mp4	65.09 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/03. Event Delegation.mp4	52.57 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/04. How to play Simon.mp4	8.37 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/05. Setting up Project.mp4	57.22 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/06. Start Game.mp4	43.08 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/07. Flash Buttons & Level Up.mp4	49.08 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/08. Button Event Listeners.mp4	32.23 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/09. Matching Sequence.mp4	80.51 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/10. Reset Game.mp4	14.10 MiB
Day - 24 (31_07_23)/29. JavaScript (Mini-Project)/11. Display Score.mp4	27.28 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/0. Topic List.jpg	131.18 KiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/01. JS Call Stack.mp4	62.46 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/02. Visualizing the Call stack.mp4	34.63 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/03. Breakpoints.mp4	41.01 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/04. JS is Single Threaded.mp4	57.76 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/05. Callback Hell.mp4	66.01 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/06. Setting up for Promises.mp4	69.71 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/07. Refactoring with Promises.mp4	48.60 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/08. then( ) and catch( ) methods.mp4	29.90 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/09. Promise chaining.mp4	47.75 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/10. Results & Errors in Promises.mp4	23.09 MiB
Day - 25 (04_08_23)/30. JavaScript (Part 11)/11. Refactoring old code.mp4	54.05 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/0. Topic List.jpg	166.92 KiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/01. async Functions.mp4	46.59 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/02. await Keyword.mp4	52.03 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/03. Handing Rejections.mp4	30.65 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/04. What is an API_.mp4	37.46 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/05. Accessing some APIs.mp4	48.15 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/06. What is JSON_.mp4	29.88 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/07. Accessing JSON data.mp4	24.56 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/08. API Testing Tools.mp4	23.70 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/09. What is Ajax_.mp4	16.84 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/10. Https Verbs.mp4	8.71 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/11. Status Codes.mp4	20.87 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/12. Adding Information in URLs.mp4	81.64 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/13. Https Headers.mp4	47.64 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/14. Our First API request.mp4	63.35 MiB
Day - 26 (06_08_23)/31. JavaScript (Part 12)/15. Using Fetch with async-await.mp4	20.58 MiB
Day - 27 (08_08_23)/32. JavaScript (Part 13)/0. Topic List.jpg	30.22 KiB
Day - 27 (08_08_23)/32. JavaScript (Part 13)/01. Using Axios.mp4	62.72 MiB
Day - 27 (08_08_23)/32. JavaScript (Part 13)/02. DogPictures API.mp4	22.82 MiB
Day - 27 (08_08_23)/32. JavaScript (Part 13)/03. Sending Headers with API requests.mp4	11.42 MiB
Day - 27 (08_08_23)/32. JavaScript (Part 13)/04. Activity using Query Strings.mp4	57.86 MiB
Day - 27 (08_08_23)/32. JavaScript (Part 13)/05. Free APIs List for Project.pdf	74.40 KiB
Day - 28 (12_08_23)/33. Terminal/0. Topic List.jpg	108.97 KiB
Day - 28 (12_08_23)/33. Terminal/01. What is the Terminal_.mp4	32.80 MiB
Day - 28 (12_08_23)/33. Terminal/02. Different Terms related to Terminal.mp4	37.69 MiB
Day - 28 (12_08_23)/33. Terminal/03. (Window Users Only) Installing Git Bash.mp4	19.08 MiB
Day - 28 (12_08_23)/33. Terminal/04. Basic Commands.mp4	34.90 MiB
Day - 28 (12_08_23)/33. Terminal/05. Navigation Commands.mp4	37.47 MiB
Day - 28 (12_08_23)/33. Terminal/06. Paths in Navigation.mp4	31.33 MiB
Day - 28 (12_08_23)/33. Terminal/07. Making Directories.mp4	35.87 MiB
Day - 28 (12_08_23)/33. Terminal/08. What are Flags_.mp4	54.45 MiB
Day - 28 (12_08_23)/33. Terminal/09. Touch Command.mp4	19.62 MiB
Day - 28 (12_08_23)/33. Terminal/10. Deleting Files & Folders.mp4	41.20 MiB
Day - 29 (16_08_23)/34. Git & Github/0. Topic List.jpg	211.17 KiB
Day - 29 (16_08_23)/34. Git & Github/01. What is Git & Github_.mp4	47.56 MiB
Day - 29 (16_08_23)/34. Git & Github/02. Creating a Github Account.mp4	21.03 MiB
Day - 29 (16_08_23)/34. Git & Github/03. Using Github.mp4	79.64 MiB
Day - 29 (16_08_23)/34. Git & Github/04. Using Git.mp4	20.36 MiB
Day - 29 (16_08_23)/34. Git & Github/05. Configuring Git.mp4	20.36 MiB
Day - 29 (16_08_23)/34. Git & Github/06. Git with VSCode.mp4	13.80 MiB
Day - 29 (16_08_23)/34. Git & Github/07. Clone command.mp4	30.49 MiB
Day - 29 (16_08_23)/34. Git & Github/08. Status command.mp4	25.86 MiB
Day - 29 (16_08_23)/34. Git & Github/09. Add & Commit Commands.mp4	33.29 MiB
Day - 29 (16_08_23)/34. Git & Github/10. Push command.mp4	26.19 MiB
Day - 29 (16_08_23)/34. Git & Github/11. Init Command.mp4	10.97 MiB
Day - 29 (16_08_23)/34. Git & Github/12. Pushing Local repo.mp4	64.34 MiB
Day - 29 (16_08_23)/34. Git & Github/13. Workflow.mp4	6.25 MiB
Day - 29 (16_08_23)/34. Git & Github/14. Git branches.mp4	29.02 MiB
Day - 29 (16_08_23)/34. Git & Github/15. Branch Commands.mp4	15.76 MiB
Day - 29 (16_08_23)/34. Git & Github/16. Merging Branches.mp4	55.06 MiB
Day - 29 (16_08_23)/34. Git & Github/17. Pull command.mp4	10.19 MiB
Day - 29 (16_08_23)/34. Git & Github/18. Merge Conflicts.mp4	29.77 MiB
Day - 29 (16_08_23)/34. Git & Github/19. Fixing Mistakes.mp4	31.27 MiB
Day - 29 (16_08_23)/34. Git & Github/20. What is Forking_.mp4	39.72 MiB
Day - 30 (18_08_23)/35. Node.js/0. Topic List.jpg	135.26 KiB
Day - 30 (18_08_23)/35. Node.js/01. What is node.js.mp4	20.02 MiB
Day - 30 (18_08_23)/35. Node.js/02. Node Installation.mp4	14.78 MiB
Day - 30 (18_08_23)/35. Node.js/03. Node Installation.pdf	44.36 KiB
Day - 30 (18_08_23)/35. Node.js/04. Node REPL.mp4	25.02 MiB
Day - 30 (18_08_23)/35. Node.js/05. Node Files.mp4	13.78 MiB
Day - 30 (18_08_23)/35. Node.js/06. Process in Node.mp4	46.16 MiB
Day - 30 (18_08_23)/35. Node.js/07. Export in Files.mp4	60.90 MiB
Day - 30 (18_08_23)/35. Node.js/08. Export in Directories.mp4	36.50 MiB
Day - 30 (18_08_23)/35. Node.js/09. What is npm_.mp4	25.21 MiB
Day - 30 (18_08_23)/35. Node.js/10. Installing Packages.mp4	66.94 MiB
Day - 30 (18_08_23)/35. Node.js/11. package.json.mp4	61.13 MiB
Day - 30 (18_08_23)/35. Node.js/12. Local v_s Global Installation.mp4	21.46 MiB
Day - 30 (18_08_23)/35. Node.js/13. import modules.mp4	51.83 MiB
Day - 31 (21_08_23)/36. Express/0. Topic List.jpg	258.84 KiB
Day - 31 (21_08_23)/36. Express/01. What is Express_.mp4	27.40 MiB
Day - 31 (21_08_23)/36. Express/02. Getting started with Express.mp4	65.23 MiB
Day - 31 (21_08_23)/36. Express/03. Handling requests.mp4	29.90 MiB
Day - 31 (21_08_23)/36. Express/04. Sending a Response.mp4	49.56 MiB
Day - 31 (21_08_23)/36. Express/05. Routing.mp4	69.84 MiB
Day - 31 (21_08_23)/36. Express/06. Installing Nodemon.mp4	20.48 MiB
Day - 31 (21_08_23)/36. Express/07. Path Parameters.mp4	55.16 MiB
Day - 31 (21_08_23)/36. Express/08. Query Strings.mp4	45.67 MiB
Day - 32 (23_08_23)/37. EJS/0. Topic List.jpg	289.62 KiB
Day - 32 (23_08_23)/37. EJS/01. What is Templating_.mp4	37.91 MiB
Day - 32 (23_08_23)/37. EJS/02. Using EJS.mp4	66.50 MiB
Day - 32 (23_08_23)/37. EJS/03. Views Directory.mp4	11.38 MiB
Day - 32 (23_08_23)/37. EJS/04. Interpolation Syntax.mp4	44.87 MiB
Day - 32 (23_08_23)/37. EJS/05. Passing data to EJS.mp4	37.02 MiB
Day - 32 (23_08_23)/37. EJS/06. Instagram EJS.mp4	32.68 MiB
Day - 32 (23_08_23)/37. EJS/07. Conditional Statements.mp4	27.84 MiB
Day - 32 (23_08_23)/37. EJS/08. Loops.mp4	30.03 MiB
Day - 32 (23_08_23)/37. EJS/09. Instagram Page with EJS.mp4	118.72 MiB
Day - 32 (23_08_23)/37. EJS/10. Includes.mp4	45.75 MiB
Day - 33 (25_08_23)/38. Miscellaneous/0. Topic List.jpg	106.17 KiB
Day - 33 (25_08_23)/38. Miscellaneous/01. GET & POST Request.mp4	82.13 MiB
Day - 33 (25_08_23)/38. Miscellaneous/02. Handling POST requests.mp4	45.69 MiB
Day - 33 (25_08_23)/38. Miscellaneous/03. Revisiting JS (OOPS).mp4	47.24 MiB
Day - 33 (25_08_23)/38. Miscellaneous/04. Object Prototypes.mp4	85.23 MiB
Day - 33 (25_08_23)/38. Miscellaneous/05. Factory Functions.mp4	32.84 MiB
Day - 33 (25_08_23)/38. Miscellaneous/06. New Operator.mp4	67.22 MiB
Day - 33 (25_08_23)/38. Miscellaneous/07. Classes in JS.mp4	23.21 MiB
Day - 33 (25_08_23)/38. Miscellaneous/08. Inheritance.mp4	81.99 MiB
Day - 33 (25_08_23)/38. Miscellaneous/09. JS OOPS 11 (Qs).pdf	176.16 KiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/0. Topic List.jpg	113.06 KiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/01. What is REST-.mp4	42.54 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/02. CRUD Operations.mp4	10.20 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/03. Creating RESTful APIs.mp4	29.42 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/04. Index Route.mp4	34.77 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/05. Create & New Route.mp4	37.63 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/06. Redirect.mp4	18.80 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/07. Show Route.mp4	44.86 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/08. Creating Ids (UUID).mp4	17.49 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/09. Update Route.mp4	28.02 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/10. Edit Route.mp4	58.88 MiB
Day - 34 (27_08_23)/39. Backend 4 (REST) - @deltabatch_apna/11. Destroy Route.mp4	30.78 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/00. Topic List.jpg	486.54 KiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/01. What is a Database_.mp4	29.66 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/02. SQL v_s NoSQL.mp4	37.35 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/03. What is SQL_.mp4	30.75 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/04. What is a Table_.mp4	20.93 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/05. (For Windows) Installation.mp4	24.78 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/06. (For Mac) Installation.mp4	31.85 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/07. Our First Database.mp4	37.45 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/08. Our First Table.mp4	25.39 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/09. Database Queries.mp4	18.27 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/10. CREATE Table.mp4	52.27 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/11. What are Constraints_.mp4	33.89 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/12. Key Constraints.mp4	63.52 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/13. Primary & Foreign Keys.mp4	19.16 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/14. INSERT into Table.mp4	33.54 MiB
Day - 35 (01_09_23)/40. Starting with SQL - @deltabatch_apna/15. SELECT Command.mp4	16.27 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/00. Topic List.jpg	451.37 KiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/01. Where Clause.mp4	17.19 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/02. Operators in Where.mp4	29.27 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/03. Frequently Used Operators.mp4	43.51 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/04. Limit Clause.mp4	10.34 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/05. Order By Clause.mp4	13.94 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/06. Aggregate Functions.mp4	24.30 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/07. Group By Clause.mp4	32.60 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/08. Having Clause.mp4	16.36 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/09. General Order.mp4	8.56 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/10. UPDATE Table.mp4	19.01 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/11. DELETE Table.mp4	7.13 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/12. ALTER Table.mp4	45.17 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/13. TRUNCATE Table.mp4	21.74 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/14. Practice Qs1.mp4	50.29 MiB
Day - 36 (03_09_23)/41. SQL (Part 2) - @deltabatch_apna/15. Practice Qs2.mp4	42.58 MiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/00. Topic List.jpg	359.71 KiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/01. Using Faker.mp4	46.79 MiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/02. MySQL Package.mp4	93.73 MiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/03. Using SQL from CLI.mp4	19.71 MiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/04. CREATE Table user.mp4	38.47 MiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/05. INSERT INTO user.mp4	46.83 MiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/06. Insert in Bulk.mp4	36.98 MiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/07. Routing.mp4	23.55 MiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/08. Home Route.mp4	57.41 MiB
Day - 37 (05_09_23)/42. Backend 5 (Node with SQL) - @deltabatch_apna/09. Add Template.mp4	31.99 MiB
